,Mun,Ncasos_lead,Ncasos_lagroll_15,Ncasos_lagroll_30,nHab,caudal,lluvia,sars_loess,sars_loess_15,sars_loess_30,Month
1233,SANTA COLOMA DE GRAMENET,1.0196959929721476,-0.29654053071655434,-0.5393886340066127,120443,317575.0,0.3,-0.6007856144164482,-0.5202444087701409,-0.610418475426635,6.0
1234,SANTA COLOMA DE GRAMENET,1.0640428848755346,0.5913224028767898,0.18585575905338295,120443,324759.0,0.0,-0.353821207717263,-0.31870614295496186,-0.36951821883954983,6.0
1235,SANTA COLOMA DE GRAMENET,0.9419901656844842,0.9558717465153485,0.6056830879633,120443,312062.0,0.0,-0.20486222296951395,-0.18973713493468145,-0.21820542324599015,6.0
1236,SANTA COLOMA DE GRAMENET,1.1704686508113376,1.0466352259088156,0.8633491907283442,120443,331372.0,9.6,-0.1057336538605351,-0.10167600303487563,-0.10616897857038812,7.0
1237,SANTA COLOMA DE GRAMENET,0.9974491974369629,1.0105685459438438,0.9847170230968244,120443,281022.0,0.0,-0.03650060084234674,-0.024458315913959885,-0.024793403235393082,7.0
1238,SANTA COLOMA DE GRAMENET,0.9048315401605462,1.0716880528548953,1.059934356795206,120443,281533.0,0.0,0.03996561220189537,0.03653364306937435,0.005710468355411132,7.0
1239,SANTA COLOMA DE GRAMENET,0.7913391961274372,1.0946002337271545,1.0548068251928195,120443,294440.0,0.0,0.08096032163495662,0.021239201973931438,-0.012208017116293317,7.0
1240,SANTA COLOMA DE GRAMENET,0.5425631970014168,0.9572371075306562,1.0181246454428732,120443,474624.0,7.2,0.009508541567883,-0.07642065727936777,-0.08509816816150434,7.0
1241,SANTA COLOMA DE GRAMENET,0.7582798118489786,0.8544486147901403,0.9879558592180282,120443,474539.0,7.2,-0.10782346858578308,-0.20833700845443678,-0.21795173115901953,8.0
1242,SANTA COLOMA DE GRAMENET,0.7468405550648474,0.681029330711972,0.8361173902631559,120443,362072.0,0.0,-0.24137931449628328,-0.3569652917170144,-0.3611679635143704,8.0
1243,SANTA COLOMA DE GRAMENET,0.9165169166202202,0.6609681917226048,0.7660965399525628,120443,491723.0,25.9,-0.38881936541595086,-0.4691170276990359,-0.48103430488954374,8.0
1244,SANTA COLOMA DE GRAMENET,1.1318242431130976,0.755102315032451,0.7194132503506108,120443,389023.0,0.0,-0.44164677365278066,-0.5030032112552014,-0.5253123580470798,8.0
1245,SANTA COLOMA DE GRAMENET,1.245660563075199,0.8412525368662451,0.7584104612987423,120443,359795.0,0.0,-0.450471869674099,-0.4550795407108645,-0.48317000754747685,9.0
1246,SANTA COLOMA DE GRAMENET,1.4180576960900089,1.0384237543666086,0.9149247144799499,120443,343375.0,22.0,-0.35679874466092604,-0.36013013050248843,-0.4457504867596561,9.0
1247,SANTA COLOMA DE GRAMENET,1.426445487108802,1.3398388651027096,1.209260075840351,120443,437274.0,0.0,-0.3198324213845549,-0.39567612132542984,-0.4240052916247395,9.0
1248,SANTA COLOMA DE GRAMENET,1.3193165581280277,1.4827386395543143,1.3560384931198353,120443,355055.0,0.0,-0.3738122024913366,-0.41489858317796646,-0.4397433124117954,10.0
1249,SANTA COLOMA DE GRAMENET,0.9821326252307853,1.4863777891056675,1.4153642746771247,120443,359000.0,0.0,-0.3544750998338497,-0.38502059941960126,-0.41534705163411345,10.0
1250,SANTA COLOMA DE GRAMENET,0.9048315401605462,1.376143351084801,1.4291143954121248,120443,368208.0,0.0,-0.31849950513400715,-0.32792557806805117,-0.35492600350565173,10.0
1251,SANTA COLOMA DE GRAMENET,0.7877551088388277,0.9489954825933031,1.2027639531653056,120443,357084.0,0.0,-0.18809957470204633,-0.21606239093420754,-0.2447075692855256,10.0
1252,SANTA COLOMA DE GRAMENET,1.026926844494054,0.9278556581906503,1.0678165859666608,120443,344011.0,0.0,-0.16784230610992693,-0.18981586201158496,-0.1832060768136608,11.0
1253,SANTA COLOMA DE GRAMENET,0.9795403884960262,0.8736953086847236,0.9134512751917643,120443,355248.0,0.0,-0.13890714852973282,-0.12627340495450837,-0.1216332742466912,11.0
1254,SANTA COLOMA DE GRAMENET,0.9194023813216868,0.9235323278106209,0.9265756703048535,120443,375992.0,0.0,-0.05105844600946967,-0.04877281071578519,-0.06536443372252633,11.0
1255,SANTA COLOMA DE GRAMENET,1.4440063609187923,1.0080801471390224,0.9457057894079866,120443,344011.0,0.0,0.009383781749632534,-0.009455861398280583,-0.021619169608914694,11.0
1256,SANTA COLOMA DE GRAMENET,1.4485974586578556,0.9545031084504766,0.9401051740286839,119289,242530.0,0.0,0.02486939688193538,-0.003704842844688326,-0.02718164179122044,0.0
1257,SANTA COLOMA DE GRAMENET,1.2943095730154512,1.2428327365259033,1.138011340289286,119289,322753.0,0.0,0.0203796482329089,-0.052971557174675644,-0.13416774589877856,0.0
1258,SANTA COLOMA DE GRAMENET,1.269720868166759,1.4454496275118982,1.2526417452359189,119289,319667.0,0.0,-0.07207789631163258,-0.2808438016360118,-0.2757863799517702,0.0
1259,SANTA COLOMA DE GRAMENET,0.8192607242465454,1.2845015758179008,1.3689063672418098,119289,318482.0,0.0,-0.4810832282030101,-0.5552196156482241,-0.45293972190494025,1.0
1260,SANTA COLOMA DE GRAMENET,0.8776606169957449,1.1778378997448977,1.2857046923671651,119289,424649.0,2.5,-0.5082499552011122,-0.5567730298717556,-0.6616342520624083,1.0
1261,SANTA COLOMA DE GRAMENET,0.5092850210533386,0.9558717465153485,1.1443626378604184,119289,329415.0,0.25,-0.4838881337102609,-0.5941777271799368,-0.7220677940111733,1.0
1262,SANTA COLOMA DE GRAMENET,0.5842859582245705,0.8528154447476062,1.0391311898615994,119289,542376.0,3.75,-0.5822060936368142,-0.7000351693985898,-0.7736809936620576,1.0
1263,SANTA COLOMA DE GRAMENET,0.5942844644433231,0.7233215011151196,0.8519545299324608,119289,328508.0,0.0,-0.6793111213206956,-0.7471506587784269,-0.8171546849599293,2.0
1264,SANTA COLOMA DE GRAMENET,0.5842859582245705,0.5463998743754879,0.7194132503506108,119289,345866.0,0.45,-0.6638510474895543,-0.6988273799837516,-0.7838683156669252,2.0
1265,SANTA COLOMA DE GRAMENET,0.9308047644638316,0.5887704821462282,0.6595862631741412,119289,324144.0,0.0,-0.5930514163040524,-0.6084081293245794,-0.6741565984192361,2.0
1266,SANTA COLOMA DE GRAMENET,0.7620447764561707,0.5887704821462282,0.5668313255789722,119289,333253.0,0.0,-0.4989625636812497,-0.491218572339737,-0.4967598343433089,2.0
1267,SANTA COLOMA DE GRAMENET,0.78414934106555,0.785252544993038,0.6951316478410059,119289,322631.0,0.0,-0.37844202192999504,-0.3092947457775172,-0.31344235963089506,2.0
1268,SANTA COLOMA DE GRAMENET,0.6688366107941436,0.85607719177768,0.7377368820496855,119289,305691.0,0.0,-0.17201110258776306,-0.13083372268175023,-0.16712939518901454,3.0
1269,SANTA COLOMA DE GRAMENET,0.735178373296574,0.7759960829455802,0.7811694200729069,119289,330593.0,7.1,-0.03176088978500887,-0.033419356088976185,-0.06398758443569254,3.0
1270,SANTA COLOMA DE GRAMENET,0.579224337749909,0.7314288103924285,0.7976694956920057,119289,334212.0,0.0,0.019593981014402146,-0.0034893185716393885,-0.042231461157450655,3.0
1271,SANTA COLOMA DE GRAMENET,0.6555403694247601,0.7046627706491219,0.7417317659135304,119289,321968.0,0.0,0.02605474932651483,-0.05546118070053424,-0.09652457831591926,3.0
1272,SANTA COLOMA DE GRAMENET,0.29300669925836936,0.6632308848773353,0.6983564556770937,119289,319221.0,0.0,-0.08397572096804816,-0.19785900380183746,-0.22814714565970107,4.0
1273,SANTA COLOMA DE GRAMENET,0.21564010749298432,0.6187011678648595,0.6630112273460431,119289,317663.0,0.0,-0.24977278591129723,-0.41822054754605104,-0.46726693598299657,4.0
1274,SANTA COLOMA DE GRAMENET,0.06093518411192092,0.4978788366805946,0.585276565976978,119289,329976.0,0.0,-0.5194762776057219,-0.780844194171185,-0.655580770516312,4.0
1275,SANTA COLOMA DE GRAMENET,-0.04005595820478767,0.24426553494381653,0.45708702543934654,119289,272484.0,0.0,-1.0229359492221084,-0.7852162153900187,-0.5595063591652429,4.0
1276,SANTA COLOMA DE GRAMENET,0.037140632786082386,-0.010375677160400196,0.12080058502765896,119289,329845.0,0.0,-0.5248874021418394,-0.30488543504733906,-0.1510486839153735,5.0
1277,SANTA COLOMA DE GRAMENET,0.44314377390496806,-0.08037021981174038,0.020312748299817263,119289,311284.0,0.0,-0.08554075666708431,0.15507114797065583,0.22629284997421223,5.0
1278,SANTA COLOMA DE GRAMENET,1.2239530970051136,-0.03748579329302754,-0.036376154097169384,119289,310934.0,0.0,0.3564393769856987,0.4811875821069661,0.4851633839363815,5.0
1279,SANTA COLOMA DE GRAMENET,1.6014876229331982,0.26189365027491235,0.10415892004677632,119289,298655.0,0.0,0.5959790594095562,0.6526459908235741,0.6614460267181678,5.0
1280,SANTA COLOMA DE GRAMENET,1.6989289106829186,0.9585992064724049,0.6456843957795121,119289,312917.0,0.0,0.7046367092637931,0.7369442233022748,0.7352063889432232,6.0
1281,SANTA COLOMA DE GRAMENET,1.6660343954601295,1.4432047788579787,1.1174783187088826,119289,316339.0,0.0,0.7626518249876867,0.7327035964604598,0.7315347261046753,6.0
1282,SANTA COLOMA DE GRAMENET,1.480797768694522,1.6453457549427433,1.4027253551587944,119289,311195.0,0.0,0.6960289218301895,0.6400462168186848,0.6724125973630616,6.0
1283,SANTA COLOMA DE GRAMENET,1.295811542911611,1.674584467969398,1.5662073660789426,119289,296860.0,0.0,0.5795285405946032,0.5130804969169319,0.5159552372656948,6.0
1284,SANTA COLOMA DE GRAMENET,1.0480954899186146,1.576544930387166,1.6057269935081409,119289,310824.0,0.0,0.4488914426878693,0.26515550725290166,0.2946148214244081,7.0
1285,SANTA COLOMA DE GRAMENET,0.47409347766003324,1.1887684840571686,1.4144925168421965,119289,278885.0,0.0,0.04786915268041218,-0.13601550348730895,-0.008955576291570285,7.0
1286,SANTA COLOMA DE GRAMENET,0.07250792945965068,0.7414086895354169,1.008871829602909,119289,326280.0,2.3,-0.30738193036710243,-0.5522176741189256,-0.46613329616116184,7.0
1287,SANTA COLOMA DE GRAMENET,-0.4187025057857067,0.15311159575545033,0.5137112332979926,119289,337569.0,0.0,-0.7934038571710268,-1.0321847590733426,-0.947156125933306,8.0
1288,SANTA COLOMA DE GRAMENET,-0.5532403702208324,-0.5681269807247833,-0.3336908990625677,119289,591982.0,19.0,-2.447284182565811,-1.6926378368439607,-1.7858782634145611,9.0
1289,SANTA COLOMA DE GRAMENET,-0.8024556369566394,-0.7980044161422615,-0.6156593351135874,119289,338781.0,0.0,-1.35143100130581,-1.2317042896960675,-1.3481966506361374,9.0
1290,SANTA COLOMA DE GRAMENET,-0.46932116088982473,-0.7574645174209907,-0.6919553344390776,119289,346335.0,0.0,-0.9690972694763468,-0.8748588978711781,-0.9837695496664395,9.0
1291,SANTA COLOMA DE GRAMENET,-0.6491173578303466,-0.738019324426003,-0.8079129767628332,119289,343840.0,0.0,-0.6621161874684143,-0.6197563183393779,-0.7762232461526511,9.0
1292,SANTA COLOMA DE GRAMENET,-0.04005595820478767,-0.6826612158725347,-0.7573593365564325,119289,333800.0,0.0,-0.4662735716724944,-0.5210331197353372,-0.6516779039069304,10.0
1293,SANTA COLOMA DE GRAMENET,0.18757850704595821,-0.6149634161033014,-0.7100539982982891,119289,323014.0,0.0,-0.4593071632542327,-0.5177250970710476,-0.5979869789924506,10.0
1294,SANTA COLOMA DE GRAMENET,0.8124022307821046,0.06479287929850915,-0.21040440376755926,119289,314631.0,0.0,-0.4698786011229067,-0.5251255551144215,-0.545106795809225,10.0
1295,SANTA COLOMA DE GRAMENET,0.9419901656844842,0.3657968196187039,0.10134323221232854,119289,327645.0,0.0,-0.4632943033466295,-0.4371270751949178,-0.4643990048665206,10.0
1296,SANTA COLOMA DE GRAMENET,1.560078272726537,0.6832171416557915,0.44575667421384346,119289,292834.0,0.0,-0.3166958609563698,-0.3169454599122836,-0.42717594416589444,11.0
1297,SANTA COLOMA DE GRAMENET,1.9902278083421778,0.8846333467473906,0.6798439240055517,119289,305722.0,0.0,-0.23172989030366314,-0.32773599275373094,-0.3356142985871995,11.0
1298,SANTA COLOMA DE GRAMENET,2.1867658390173417,1.3329654279760152,1.0977291187922635,119289,302267.0,0.0,-0.3389027287498713,-0.2869068037044816,0.22723434949215343,11.0
1299,SANTA COLOMA DE GRAMENET,0.33218296798116653,1.8033687574207706,1.5183216657251586,119289,299647.0,0.0,-0.16394092787174425,0.48876049698388097,0.6161025625937043,11.0
1300,SANTA COLOMA DE GRAMENET,2.4688387613402396,1.9755347954509586,2.0063971671043643,117981,323372.0,0.0,0.821874183148497,0.9503093506232312,0.8605907370255835,0.0
1301,SANTA COLOMA DE GRAMENET,1.6916255808819127,2.4280255235391817,2.228000554640687,117981,306594.0,0.0,1.0351976929177027,1.0150851535455743,1.0124579252622266,0.0
1302,SANTA COLOMA DE GRAMENET,1.1176616215056914,1.9504355230709476,2.2215158768748964,117981,322822.0,0.0,0.7906093492773106,0.40980493297389753,0.5261467377359956,1.0
1303,SANTA COLOMA DE GRAMENET,0.7657861686412856,1.208260235537339,1.6954292231821202,117981,324401.0,0.0,-0.5497374185979746,-0.7283068508822338,0.10205808689833476,1.0
1304,SANTA COLOMA DE GRAMENET,0.7544909846579149,1.048959509939929,1.333063284314415,117981,332365.0,0.0,-0.7901581244223939,-0.6379873259504778,-0.6636213830844393,1.0
1305,SANTA COLOMA DE GRAMENET,0.6555403694247601,0.8752706370026796,1.0666974591985292,117981,435887.0,0.0,-0.4222478392208059,-0.45877381265442707,-0.5496794515122512,2.0
1306,SANTA COLOMA DE GRAMENET,0.5689729548395266,0.7627863842233112,0.9244093826367691,117981,389239.0,0.2,-0.38816644309075216,-0.3622480657653942,-0.26635337260812275,2.0
1307,SANTA COLOMA DE GRAMENET,0.15821028863907607,0.7088603195587876,0.7985724756918287,117981,294784.0,0.0,-0.25059908409685705,-0.08529385848094988,-0.04994354492266462,2.0
1308,SANTA COLOMA DE GRAMENET,0.31680656833946874,0.39104761775453034,0.5695013648320214,117981,322941.0,0.0,0.24251078166767356,0.2449114123426078,0.23602898658107913,3.0
1309,SANTA COLOMA DE GRAMENET,0.5316705850389568,0.2307141764601239,0.44901537437835876,117981,305414.0,0.0,0.2759426702499971,0.2633123731361587,0.2626070560887633,3.0
1310,SANTA COLOMA DE GRAMENET,0.7506779993849496,0.3079717815793539,0.34671797309510594,117981,310853.0,0.0,0.2781640314257092,0.22558133392238267,0.2241174638416732,3.0
1311,SANTA COLOMA DE GRAMENET,0.7984433319263369,0.4287570744896068,0.3331467168020663,117981,322238.0,0.0,0.20146408465157573,0.12837499245797052,0.18338922407937427,3.0
1312,SANTA COLOMA DE GRAMENET,0.8459290520374174,0.6518305482658485,0.501907157294788,117981,297269.0,0.0,0.0899070537943251,0.09023496775895982,0.17264886832625223,4.0
1313,SANTA COLOMA DE GRAMENET,0.9336211416639855,0.7778591176109676,0.6278351646485367,117981,298204.0,0.0,0.13304682781868474,0.1738021395334478,0.24433026278102585,4.0
1314,SANTA COLOMA DE GRAMENET,0.8745629687492192,0.8260391702125812,0.7456994233129896,117981,301276.0,0.0,0.24500097988295585,0.32525439078072543,0.3833457045263543,4.0
1315,SANTA COLOMA DE GRAMENET,0.8620074868888256,0.8953676968500021,0.8403277740768482,117981,308532.0,0.0,0.4167946673466264,0.48909443809141506,0.5455130623743558,4.0
1316,SANTA COLOMA DE GRAMENET,0.9077746891119977,0.9088811467151027,0.8697595622200648,117981,351181.0,0.0,0.5636685806883023,0.6500572798179016,0.6848414954608186,4.0
1317,SANTA COLOMA DE GRAMENET,1.0411245400871723,0.8721156706244216,0.8847007098071646,117981,312915.0,0.0,0.7268719674911421,0.7709389104949451,0.7783208520609365,5.0
1318,SANTA COLOMA DE GRAMENET,1.227346955506527,0.8892582992839339,0.9000144693325174,117981,326206.0,0.0,0.8056559574449219,0.8150934676332581,0.8263843698902472,5.0
1319,SANTA COLOMA DE GRAMENET,1.268148133455279,0.9825756594621146,0.9308834021332247,117981,327239.0,0.0,0.8149363630409918,0.8001815038638983,0.8082242803423998,5.0
1320,SANTA COLOMA DE GRAMENET,1.1495362443984078,1.1456368901340175,1.0326147860312802,117981,308214.0,0.0,0.7761184093563612,0.7162834486670672,0.7328939923474129,5.0
1321,SANTA COLOMA DE GRAMENET,0.6465106658952285,1.2509430815076408,1.1330745117306746,117981,304591.0,0.0,0.6464877767657918,0.5640255690772268,0.6079699254516336,6.0
1322,SANTA COLOMA DE GRAMENET,0.18757850704595821,1.2151798783766397,1.1814301241131762,117981,304472.0,1.0,0.476353079768903,0.3793378245947903,0.4261759872103056,6.0
1323,SANTA COLOMA DE GRAMENET,-1.9076389879732407,0.9545031084504766,1.1225584768118213,117981,300085.0,0.0,0.28720732628456314,0.15787700819693393,0.2055203937694143,6.0
