Week,Mun,Ncasos,Year,Ncasos_lead,Ncasos_lag,Ncasos_lagroll_15,Ncasos_lagroll_30,EDAR,nHab,N1,N2,IP4,E,caudal,lluvia,Fecha,sars2,sars,n1_fill,f_num,n1_loess,n1_loess_15,n1_loess_30,sars_loess,sars_loess_15,sars_loess_30,sars2_loess,sars2_loess_15,sars2_loess_30,Month
2021 24,BARCELONA,1341,2021,2895,1050,1057.5,1067.75,BESÒS,1636732,23194,375,NA,NA,311284,0,2021-06-14,375,23194,23194,18792,117089.47534708623,197102.31436425928,215203.2408477546,117116.03894925283,197117.12809823302,214429.97650833818,32587.765216653585,62281.2752016159,69921.78703906956,06
2021 25,BARCELONA,2895,2021,11086,1341,1195.5,1120.25,BESÒS,1636732,34151,1672,NA,NA,310934,0,2021-06-21,1672,34151,34151,18799,277115.1533814323,348941.0513969694,329873.5185356593,277118.21724721324,348935.4864512435,329654.57674947346,91974.78518657823,119747.60501881895,112964.25808033833,06
2021 26,BARCELONA,11086,2021,15738,2895,2118,1587.75,BESÒS,1636732,395493,119364,NA,NA,298655,0,2021-06-28,119364,395493,395493,18806,420766.94941250654,462644.72270705935,439204.91972775076,420752.7556552738,462192.02540071384,438655.27600122645,147520.42485105968,163647.24095906076,155429.9088750813,06
2021 27,BARCELONA,15738,2021,14423,11086,6990.5,4093,BESÒS,1636732,1296580,443869,NA,NA,312917,0,2021-07-05,443869,1296580,1296580,18813,504522.49600161216,529468.788058532,493982.3941101415,503631.2951461539,528375.0655512094,493528.30857741425,179774.05706706183,191112.2127313437,180860.60092467198,07
2021 28,BARCELONA,14423,2021,10017,15738,13412,7765,BESÒS,1636732,167618,133181,NA,NA,316339,0,2021-07-12,133181,167618,167618,18820,554415.080115452,525320.0655132236,490469.79265647475,553118.8359562649,524864.5917541147,490652.34532774263,202450.36839562556,198073.9608902832,187675.11077696434,07
2021 29,BARCELONA,10017,2021,6188,14423,15080.5,11035.5,BESÒS,1636732,429623,141637,NA,NA,311195,0,2021-07-19,141637,429623,429623,18827,496225.0509109953,451470.7972544175,444790.2425434901,496610.3475519646,452929.6251042758,446437.4389006503,193697.55338494087,184238.00882258502,181322.75592896758,07
2021 30,BARCELONA,6188,2021,3663,10017,12220,12816,BESÒS,1636732,437054,195191,NA,NA,296860,0,2021-07-26,195191,437054,437054,18834,406716.54359783966,364260.4195737566,342259.75156437035,409248.9026565871,368010.28604718595,346663.54647745483,174778.46426022917,164571.55096765197,156551.66530008052,07
2021 31,BARCELONA,3663,2021,2408,6188,8102.5,11591.5,BESÒS,1636732,206714,58820,NA,NA,310824,0,2021-08-02,58820,206714,206714,18841,321804.29554967344,233048.7058743232,233722.41727983966,326771.66943778476,240397.46785063384,240505.14483410766,154364.6376750748,128865.32177757604,123338.65181006482,08
2021 33,BARCELONA,1741,2021,1227,2408,3035.5,5569,BESÒS,1636732,166904,191067,NA,NA,278885,0,2021-08-16,191067,191067,166904,18855,144293.11619897292,103184.41498592278,135406.014416732,154023.2662634829,113000.00362102946,143407.46162253775,103366.00588007728,82105.75265247768,84738.060721145,08
2021 35,BARCELONA,801,2021,737,1227,1484,2259.75,BESÒS,1636732,30181,15727,NA,NA,326280,2.3,2021-08-30,15727,30181,30181,18869,62075.7137728726,37763.32295914086,55211.359781426356,71976.74097857601,46417.45539444173,63443.939221397595,60845.49942487807,40610.799664713944,48564.42895041127,08
2021 37,BARCELONA,680,2021,463,737,769,1126.5,BESÒS,1636732,15673,27642,NA,NA,337569,0,2021-09-13,27642,27642,15673,18883,13450.932145409079,7238.304576929986,19138.080731683127,20858.1698103074,13887.874821765778,25509.230796460433,20376.09990454984,15023.105248344871,24219.822064939442,09
2021 38,BARCELONA,463,2021,454,680,708.5,861.25,BESÒS,1636732,3861,15171,NA,NA,NA,NA,2021-09-21,15171,15171,3861,18891,1025.6770084508448,512.8385042254467,3619.1522884649776,6917.579833224111,4601.006198479201,7515.045551816431,9670.110592139921,7828.844465164937,9853.083503127702,09
2021 39,BARCELONA,454,2021,333,463,571.5,670.25,BESÒS,1636732,375,1304,NA,NA,338204,NA,2021-09-27,1304,1304,375,18897,0,2.432898327242583e-11,792.9857584904175,2284.432563734248,1142.2162818671454,3111.1327936384732,5987.578338189971,4683.061757910536,5421.911665371891,09
2021 40,BARCELONA,333,2021,334,454,458.5,583.5,BESÒS,1636732,917,1477,NA,NA,591982,19,2021-10-04,1477,1477,917,18904,0,1073.1330127554436,3409.6856795534436,0,1621.2593887978078,4471.543231601107,3378.5451776311183,3014.978865578845,3966.5975870807997,10
2021 41,BARCELONA,334,2021,352,333,393.5,482.5,BESÒS,1636732,2975,5619,NA,NA,338781,0,2021-10-13,5619,5619,2975,18913,2146.2660255108385,6819.371359106918,10845.207376101696,3242.518777595573,7800.870181335131,11389.13895653012,2651.4125535265907,3250.133416251064,3806.1211856370337,10
2021 42,BARCELONA,352,2021,388,334,333.5,396,BESÒS,1636732,1356,1494,NA,NA,346335,0,2021-10-18,1494,1494,1356,18918,11492.476692702949,20617.281739448004,23233.559693858413,12359.221585074647,21157.018524262494,23742.5263607156,3848.854278975555,4597.263505695222,4881.38865118388,10
2021 43,BARCELONA,388,2021,619,352,343,368.25,BESÒS,1636732,6074,8944,NA,NA,343840,0,2021-10-25,8944,8944,6074,18925,29742.086786193013,39647.74802860997,35320.836031905725,29954.815463450297,39684.18254009613,35497.34705629797,5345.672732414908,6512.643886116697,6160.208951851658,10
2021 44,BARCELONA,619,2021,1026,388,370,351.75,BESÒS,1636732,71185,7487,NA,NA,333800,0,2021-11-02,7487,71185,71185,18933,49553.40927102687,50024.3903243635,44723.43436020452,49413.549616741926,49837.67558833351,44948.41966783211,7679.615039818504,7723.154398008093,7737.568412662163,11
2021 45,BARCELONA,1026,2021,1455,619,503.5,423.25,BESÒS,1636732,73065,11616,NA,NA,323014,0,2021-11-08,11616,73065,73065,18939,50495.37137770009,49799.12069179914,47615.211223030565,50261.80155992506,50212.656795568146,49704.52770775149,7766.693756197702,8962.492939207628,12214.735074116457,11
2021 46,BARCELONA,1455,2021,2308,1026,822.5,596.25,BESÒS,1636732,66335,9455,NA,NA,NA,NA,2021-11-15,9455,66335,66335,18946,49102.870005898134,45206.03212169769,44225.33479460575,50163.5120312112,49571.37982716953,49794.85477521732,10158.292122217574,16706.31575022482,19218.511325165444,11
2021 47,BARCELONA,2308,2021,3199,1455,1240.5,872,BESÒS,1636732,19514,12636,NA,NA,314631,0,2021-11-22,12636,19514,19514,18953,41309.19423749719,38651.54889741242,45276.37247500255,48979.24762312782,49377.05275486655,54843.021367128786,23254.33937823209,29474.52971112326,27764.3651070444,11
2021 48,BARCELONA,3199,2021,4661,2308,1881.5,1352,BESÒS,1636732,13248,3506,NA,NA,327645,0,2021-11-29,3506,13248,13248,18960,35993.90355732759,45346.71282830747,50485.15574159283,49774.85788660524,60114.6629070881,63646.186055748054,35694.72004401445,38822.41446386398,35824.27336792256,11
2021 49,BARCELONA,4661,2021,9668,3199,2753.5,1997,BESÒS,1636732,43267,104440,NA,NA,292834,0,2021-12-08,104440,104440,43267,18969,54699.52209928731,62318.7625857733,54684.06862051503,70454.46792757092,77915.31935662961,68134.32590137105,41950.108883713525,42174.017024721856,35658.69018982528,12
2021 50,BARCELONA,9668,2021,23730,4661,3930,2905.75,BESÒS,1636732,98574,40576,NA,NA,305722,0,2021-12-13,40576,98574,98574,18974,69938.00307225925,64021.424412722634,70027.41913350424,85376.17078568826,76153.98889565404,80458.05009949792,42397.92516573021,32494.965915786586,30045.53056604323,12
2021 51,BARCELONA,23730,2021,26608,9668,7164.5,4959,BESÒS,1636732,92664,26099,NA,NA,302267,0,2021-12-20,26099,92664,92664,18981,58104.845753185975,77736.07568123523,205827.52622582865,66931.80700561979,83000.78084236631,214770.6854362367,22592.006665842982,17917.044107364603,51223.72992801258,12
2021 52,BARCELONA,26608,2021,869,23730,16699,10314.5,BESÒS,1636732,143436,NA,NA,NA,299647,0,2021-12-27,0,143436,143436,18988,97367.30560928443,347633.6280389347,397950.9516857837,99069.75467911278,353387.3819768194,407798.98250060854,13242.081548886243,69952.49394023858,90255.4449143052,12
2022 02,BARCELONA,43396,2022,45832,37116,18992.5,22080.75,BESÒS,1636193,166333,NA,NA,NA,323372,0,2022-01-10,0,166333,166333,19002,597899.950468585,718165.8276903322,588702.0490792153,607705.009274526,732597.1841588508,601694.4772197183,126662.90633159093,162593.8457212458,136502.8881697601,01
2022 03,BARCELONA,45832,2022,28908,43396,40256,26997.25,BESÒS,1636193,494645,185775,NA,NA,NA,NA,2022-01-20,185775,494645,494645,19012,838431.7049120795,829770.4701194958,750840.2503120753,857489.3590431755,850001.5724626172,769510.998229817,198524.78511090067,203053.2823992816,186773.68440185033,01
2022 04,BARCELONA,28908,2022,15348,45832,44614,31803.25,BESÒS,1636193,2546958,415908,NA,NA,306594,0,2022-01-24,415908,2546958,2546958,19016,821109.235326912,783514.6729338182,740444.5531566038,842513.7858820588,806424.8123007832,762174.7784791196,207581.77968766252,210953.5230824549,201027.8113284816,01
2022 05,BARCELONA,15348,2022,8562,28908,37370,38813,BESÒS,1636193,144928,244005,NA,NA,NA,0,2022-01-31,244005,244005,144928,19023,745920.1105407244,651118.6361937119,538521.6944518016,770335.8387195076,674347.9844956222,557836.2221970388,214325.2664772473,199002.34025768162,169408.99977865256,01
2022 06,BARCELONA,8562,2022,6067,15348,22128,33371,BESÒS,1636193,94128,59011,NA,NA,322822,0,2022-02-07,59011,94128,94128,19030,556317.1618466994,293528.715969785,337464.67990238953,578360.1302717369,309247.6320932945,352470.67406014627,183679.41403811597,127864.47647485025,129207.86735323598,02
2022 08,BARCELONA,4970,2022,4459,6067,7314.5,14721.25,BESÒS,1636193,144191,103233,NA,NA,324401,0,2022-02-21,103233,144191,144191,19044,30740.270092870604,23810.72361106722,164613.34627723956,40135.13391485212,30593.363624670277,173631.40488209602,72049.53891158455,59413.394448790365,83874.7097649659,02
2022 09,BARCELONA,4459,2022,4027,4970,5518.5,8736.75,BESÒS,1636193,117544,58726,NA,NA,332365,0,2022-02-28,58726,117544,117544,19051,16881.17712926386,35697.97658469407,40376.10268043372,21051.593334488287,38015.17767089759,43949.6941116203,46777.24998599619,39884.94305508155,43805.44873805202,02
2022 10,BARCELONA,4027,2022,4009,4459,4714.5,6014.5,BESÒS,1636193,37297,47747,NA,NA,435887,0,2022-03-07,47747,47747,37297,19058,54514.776040124314,56941.4817498002,52917.35201153776,54978.76200730674,57306.02459857044,54379.89184989661,32992.63612416692,28197.50302731369,32611.768211450006,03
2022 11,BARCELONA,4009,2022,3128,4027,4243,4880.75,BESÒS,1636193,53865,5623,NA,NA,389239,0.2,2022-03-14,5623,53865,53865,19065,59368.18745947611,70136.72743838142,91627.67244610793,59633.287189833994,70744.60602889575,91125.11433684143,23402.36993046047,25338.593367818467,41944.76993366625,03
2022 12,BARCELONA,3128,2022,1864,4009,4018,4366.25,BESÒS,1636193,14046,11310,NA,NA,294784,0,2022-03-21,11310,14046,14046,19072,80905.26741728676,126313.86314241563,135472.22726580134,81855.92486795736,124944.20407511253,133544.09670370247,27274.816805176477,55692.03684001881,65043.596142437316,03
2022 13,BARCELONA,1864,2022,2301,3128,3568.5,3905.75,BESÒS,1636193,92977,72598,NA,NA,NA,NA,2022-03-29,72598,92977,92977,19080,171722.45886754454,200807.72709322118,180137.38704786595,168032.48328226755,196343.5873785093,178415.28058072005,84109.25687486115,104748.59891705617,96353.54949985434,03
2022 14,BARCELONA,2301,2022,2138,1864,2496,3257,BESÒS,1636193,206033,375,NA,NA,322941,0,2022-04-04,375,206033,206033,19086,229892.99531889788,233960.91095331623,215960.9662645698,224654.69147475093,231886.3570863277,217977.6990722066,125387.9409592512,137015.06215968987,132092.0649705137,04
2022 15,BARCELONA,2138,2022,2439,2301,2082.5,2825.5,BESÒS,1636193,527418,368276,NA,NA,305414,0,2022-04-11,368276,527418,527418,19093,238028.8265877346,231114.20543591838,216069.13304465645,239118.02269790432,239611.810765904,227942.41335509808,148642.18336012858,159435.53102397118,152126.89469896493,04
2022 16,BARCELONA,2439,2022,2894,2138,2219.5,2357.75,BESÒS,1636193,186074,198802,NA,NA,310853,0,2022-04-19,198802,198802,186074,19101,224199.5842841022,198177.35513599662,185919.4266392509,240105.5988339035,223998.4696238686,213644.6724306707,170228.87868781382,167238.72723823998,159146.84145416346,04
2022 17,BARCELONA,2894,2022,3522,2439,2288.5,2185.5,BESÒS,1636193,98159,69338,NA,NA,322238,0,2022-04-25,69338,98159,98159,19107,172155.1259878911,140724.64784258336,153249.65590443183,207891.34041383353,187677.53409543756,199427.06256325005,164248.57578866617,158858.15188435573,164388.35091753784,04
2022 18,BARCELONA,3522,2022,3646,2894,2666.5,2443,BESÒS,1636193,63797,51003,NA,NA,297269,0,2022-05-02,51003,63797,63797,19114,109294.16969727565,108321.956672867,130969.2550040881,167463.72777704144,174855.65550263162,195827.28751176322,153467.7279800453,161537.9745968357,173116.1900527973,05
