Municipios;Periodo;Total
25092 Floresta, La;2021;145
25092 Floresta, La;2020;140
25093 Fondarella;2022;778
25093 Fondarella;2021;781
25093 Fondarella;2020;776
25094 Foradada;2022;191
25094 Foradada;2021;195
25094 Foradada;2020;203
25096 Fuliola, La;2022;1238
25096 Fuliola, La;2021;1247
25096 Fuliola, La;2020;1250
25097 Fulleda;2022;98
25097 Fulleda;2021;101
25097 Fulleda;2020;102
25098 Gavet de la Conca;2022;261
25098 Gavet de la Conca;2021;262
25098 Gavet de la Conca;2020;261
25912 Gimenells i el Pla de la Font;2022;1109
25912 Gimenells i el Pla de la Font;2021;1118
25912 Gimenells i el Pla de la Font;2020;1120
25099 Golmés;2022;1893
25099 Golmés;2021;1855
25099 Golmés;2020;1855
25100 Gósol;2022;233
25100 Gósol;2021;232
25100 Gósol;2020;206
25101 Granadella, La;2022;724
25101 Granadella, La;2021;705
25101 Granadella, La;2020;716
25102 Granja d'Escarp, La;2022;923
25102 Granja d'Escarp, La;2021;931
25102 Granja d'Escarp, La;2020;922
25103 Granyanella;2022;136
25103 Granyanella;2021;145
25103 Granyanella;2020;143
25105 Granyena de les Garrigues;2022;147
25105 Granyena de les Garrigues;2021;154
25105 Granyena de les Garrigues;2020;140
25104 Granyena de Segarra;2022;157
25104 Granyena de Segarra;2021;159
25104 Granyena de Segarra;2020;151
25109 Guimerà;2022;261
25109 Guimerà;2021;263
25109 Guimerà;2020;271
25903 Guingueta d'Àneu, La;2022;298
25903 Guingueta d'Àneu, La;2021;300
25903 Guingueta d'Àneu, La;2020;289
25110 Guissona;2022;7390
25110 Guissona;2021;7291
25110 Guissona;2020;7248
25111 Guixers;2022;132
25111 Guixers;2021;126
25111 Guixers;2020;132
25115 Isona i Conca Dellà;2022;1057
25115 Isona i Conca Dellà;2021;1060
25115 Isona i Conca Dellà;2020;1042
25112 Ivars de Noguera;2022;327
25112 Ivars de Noguera;2021;335
25112 Ivars de Noguera;2020;332
25113 Ivars d'Urgell;2022;1560
25113 Ivars d'Urgell;2021;1553
25113 Ivars d'Urgell;2020;1537
25114 Ivorra;2022;100
25114 Ivorra;2021;110
25114 Ivorra;2020;108
25910 Josa i Tuixén;2022;105
25910 Josa i Tuixén;2021;100
25910 Josa i Tuixén;2020;103
25118 Juncosa;2022;401
25118 Juncosa;2021;397
25118 Juncosa;2020;395
25119 Juneda;2022;3558
25119 Juneda;2021;3569
25119 Juneda;2020;3501
25121 Les;2022;970
25121 Les;2021;966
25121 Les;2020;971
25122 Linyola;2022;2723
25122 Linyola;2021;2724
25122 Linyola;2020;2717
25123 Lladorre;2022;254
25123 Lladorre;2021;244
25123 Lladorre;2020;237
25124 Lladurs;2022;190
25124 Lladurs;2021;187
25124 Lladurs;2020;180
25125 Llardecans;2022;421
25125 Llardecans;2021;429
25125 Llardecans;2020;444
25126 Llavorsí;2022;343
25126 Llavorsí;2021;345
25126 Llavorsí;2020;346
25120 Lleida;2022;140797
25120 Lleida;2021;140080
25120 Lleida;2020;140403
25127 Lles de Cerdanya;2022;286
25127 Lles de Cerdanya;2021;288
25127 Lles de Cerdanya;2020;270
25128 Llimiana;2022;146
25128 Llimiana;2021;155
25128 Llimiana;2020;146
25129 Llobera;2022;202
25129 Llobera;2021;187
25129 Llobera;2020;188
25133 Maials;2022;911
25133 Maials;2021;926
25133 Maials;2020;909
25130 Maldà;2022;234
25130 Maldà;2021;237
25130 Maldà;2020;227
25131 Massalcoreig;2022;589
25131 Massalcoreig;2021;599
25131 Massalcoreig;2020;610
25132 Massoteres;2022;220
25132 Massoteres;2021;223
25132 Massoteres;2020;212
25134 Menàrguens;2022;774
25134 Menàrguens;2021;789
25134 Menàrguens;2020;813
25135 Miralcamp;2022;1364
25135 Miralcamp;2021;1366
25135 Miralcamp;2020;1385
25137 Mollerussa;2022;14730
25137 Mollerussa;2021;14545
25137 Mollerussa;2020;14649
25136 Molsosa, La;2022;99
25136 Molsosa, La;2021;102
25136 Molsosa, La;2020;104
25139 Montellà i Martinet;2022;615
25139 Montellà i Martinet;2021;596
25139 Montellà i Martinet;2020;578
25140 Montferrer i Castellbò;2022;1083
25140 Montferrer i Castellbò;2021;1081
25140 Montferrer i Castellbò;2020;1034
25138 Montgai;2022;647
25138 Montgai;2021;655
25138 Montgai;2020;643
25142 Montoliu de Lleida;2022;494
25142 Montoliu de Lleida;2021;493
25142 Montoliu de Lleida;2020;483
25141 Montoliu de Segarra;2022;180
25141 Montoliu de Segarra;2021;191
25141 Montoliu de Segarra;2020;187
25143 Montornès de Segarra;2022;92
25143 Montornès de Segarra;2021;91
25143 Montornès de Segarra;2020;96
25145 Nalec;2022;95
25145 Nalec;2021;88
25145 Nalec;2020;90
25025 Naut Aran;2022;1923
25025 Naut Aran;2021;1941
25025 Naut Aran;2020;1836
25146 Navès;2022;305
25146 Navès;2021;293
25146 Navès;2020;284
25148 Odèn;2022;252
25148 Odèn;2021;253
25148 Odèn;2020;258
25149 Oliana;2022;1849
25149 Oliana;2021;1857
25149 Oliana;2020;1843
25150 Oliola;2022;196
25150 Oliola;2021;201
25150 Oliola;2020;203
25151 Olius;2022;985
25151 Olius;2021;962
25151 Olius;2020;981
25152 Oluges, Les;2022;166
25152 Oluges, Les;2021;169
25152 Oluges, Les;2020;171
25153 Omellons, Els;2022;198
25153 Omellons, Els;2021;202
25153 Omellons, Els;2020;206
25154 Omells de na Gaia, Els;2022;127
25154 Omells de na Gaia, Els;2021;127
25154 Omells de na Gaia, Els;2020;130
25155 Organyà;2022;796
25155 Organyà;2021;766
25155 Organyà;2020;771
25156 Os de Balaguer;2022;1046
25156 Os de Balaguer;2021;1000
25156 Os de Balaguer;2020;980
25157 Ossó de Sió;2022;193
25157 Ossó de Sió;2021;196
25157 Ossó de Sió;2020;203
25158 Palau d'Anglesola, El;2022;2191
25158 Palau d'Anglesola, El;2021;2205
25158 Palau d'Anglesola, El;2020;2166
25164 Penelles;2022;430
25164 Penelles;2021;443
25164 Penelles;2020;436
25165 Peramola;2022;348
25165 Peramola;2021;348
25165 Peramola;2020;347
25166 Pinell de Solsonès;2022;190
25166 Pinell de Solsonès;2021;188
25166 Pinell de Solsonès;2020;193
25167 Pinós;2022;291
25167 Pinós;2021;290
25167 Pinós;2020;286
25911 Plans de Sió, Els;2022;490
25911 Plans de Sió, Els;2021;503
25911 Plans de Sió, Els;2020;491
25168 Poal, El;2022;667
25168 Poal, El;2021;667
25168 Poal, El;2020;670
25169 Pobla de Cérvoles, La;2022;209
25169 Pobla de Cérvoles, La;2021;198
25169 Pobla de Cérvoles, La;2020;189
25171 Pobla de Segur, La;2022;3055
25171 Pobla de Segur, La;2021;3050
25171 Pobla de Segur, La;2020;3043
25030 Pont de Bar, El;2022;163
25030 Pont de Bar, El;2021;174
25030 Pont de Bar, El;2020;152
25173 Pont de Suert, El;2022;2336
25173 Pont de Suert, El;2021;2331
25173 Pont de Suert, El;2020;2257
25172 Ponts;2022;2661
25172 Ponts;2021;2629
25172 Ponts;2020;2644
25174 Portella, La;2022;718
25174 Portella, La;2021;727
25174 Portella, La;2020;743
25175 Prats i Sansor;2022;260
25175 Prats i Sansor;2021;251
25175 Prats i Sansor;2020;222
25176 Preixana;2022;404
25176 Preixana;2021;391
25176 Preixana;2020;387
25177 Preixens;2022;422
25177 Preixens;2021;421
25177 Preixens;2020;418
25179 Prullans;2022;264
25179 Prullans;2021;246
25179 Prullans;2020;226
25180 Puiggròs;2022;257
25180 Puiggròs;2021;265
25180 Puiggròs;2020;278
25181 Puigverd d'Agramunt;2022;253
25181 Puigverd d'Agramunt;2021;230
25181 Puigverd d'Agramunt;2020;229
25182 Puigverd de Lleida;2022;1398
25182 Puigverd de Lleida;2021;1384
25182 Puigverd de Lleida;2020;1349
25183 Rialp;2022;675
25183 Rialp;2021;658
25183 Rialp;2020;641
25905 Ribera d'Ondara;2022;441
25905 Ribera d'Ondara;2021;431
25905 Ribera d'Ondara;2020;433
25185 Ribera d'Urgellet;2022;920
25185 Ribera d'Urgellet;2021;947
25185 Ribera d'Urgellet;2020;932
25186 Riner;2022;280
25186 Riner;2021;281
25186 Riner;2020;263
25913 Riu de Cerdanya;2022;100
25913 Riu de Cerdanya;2021;93
25913 Riu de Cerdanya;2020;93
25189 Rosselló;2022;3278
25189 Rosselló;2021;3186
25189 Rosselló;2020;3237
25190 Salàs de Pallars;2022;345
25190 Salàs de Pallars;2021;343
25190 Salàs de Pallars;2020;327
25191 Sanaüja;2022;392
25191 Sanaüja;2021;396
25191 Sanaüja;2020;379
25196 Sant Esteve de la Sarga;2022;123
25196 Sant Esteve de la Sarga;2021;122
25196 Sant Esteve de la Sarga;2020;122
25192 Sant Guim de Freixenet;2022;1120
25192 Sant Guim de Freixenet;2021;1059
25192 Sant Guim de Freixenet;2020;1037
25197 Sant Guim de la Plana;2022;182
25197 Sant Guim de la Plana;2021;184
25197 Sant Guim de la Plana;2020;181
25193 Sant Llorenç de Morunys;2022;1000
25193 Sant Llorenç de Morunys;2021;985
25193 Sant Llorenç de Morunys;2020;960
25902 Sant Martí de Riucorb;2022;646
25902 Sant Martí de Riucorb;2021;649
25902 Sant Martí de Riucorb;2020;639
25194 Sant Ramon;2022;480
25194 Sant Ramon;2021;497
25194 Sant Ramon;2020;487
25201 Sarroca de Bellera;2022;113
25201 Sarroca de Bellera;2021;120
25201 Sarroca de Bellera;2020;116
25200 Sarroca de Lleida;2022;365
25200 Sarroca de Lleida;2021;357
25200 Sarroca de Lleida;2020;358
25202 Senterada;2022;161
25202 Senterada;2021;150
25202 Senterada;2020;139
25035 Sentiu de Sió, La;2022;417
25035 Sentiu de Sió, La;2021;426
25035 Sentiu de Sió, La;2020;414
25204 Seròs;2022;1890
25204 Seròs;2021;1923
25204 Seròs;2020;1946
25203 Seu d'Urgell, La;2022;12261
25203 Seu d'Urgell, La;2021;12252
25203 Seu d'Urgell, La;2020;12206
25205 Sidamon;2022;759
25205 Sidamon;2021;755
25205 Sidamon;2020;748
25206 Soleràs, El;2022;330
25206 Soleràs, El;2021;337
25206 Soleràs, El;2020;332
25207 Solsona;2022;9131
25207 Solsona;2021;9175
25207 Solsona;2020;9137
25208 Soriguera;2022;429
25208 Soriguera;2021;431
25208 Soriguera;2020;420
25209 Sort;2022;2192
25209 Sort;2021;2181
25209 Sort;2020;2154
25210 Soses;2022;1784
25210 Soses;2021;1781
25210 Soses;2020;1761
25211 Sudanell;2022;873
25211 Sudanell;2021;844
25211 Sudanell;2020;840
25212 Sunyer;2022;332
