Municipios;Periodo;Total
08206 Sant Cugat Sesgarrigues;2021;1004
08206 Sant Cugat Sesgarrigues;2020;1009
08207 Sant Esteve de Palautordera;2022;3043
08207 Sant Esteve de Palautordera;2021;2997
08207 Sant Esteve de Palautordera;2020;2864
08208 Sant Esteve Sesrovires;2022;7889
08208 Sant Esteve Sesrovires;2021;7771
08208 Sant Esteve Sesrovires;2020;7696
08210 Sant Feliu de Codines;2022;6460
08210 Sant Feliu de Codines;2021;6406
08210 Sant Feliu de Codines;2020;6363
08211 Sant Feliu de Llobregat;2022;45642
08211 Sant Feliu de Llobregat;2021;45463
08211 Sant Feliu de Llobregat;2020;45467
08212 Sant Feliu Sasserra;2022;611
08212 Sant Feliu Sasserra;2021;617
08212 Sant Feliu Sasserra;2020;605
08209 Sant Fost de Campsentelles;2022;9064
08209 Sant Fost de Campsentelles;2021;8997
08209 Sant Fost de Campsentelles;2020;8853
08213 Sant Fruitós de Bages;2022;9025
08213 Sant Fruitós de Bages;2021;8936
08213 Sant Fruitós de Bages;2020;8837
08215 Sant Hipòlit de Voltregà;2022;3644
08215 Sant Hipòlit de Voltregà;2021;3547
08215 Sant Hipòlit de Voltregà;2020;3540
08193 Sant Iscle de Vallalta;2022;1433
08193 Sant Iscle de Vallalta;2021;1438
08193 Sant Iscle de Vallalta;2020;1342
08216 Sant Jaume de Frontanyà;2022;31
08216 Sant Jaume de Frontanyà;2021;28
08216 Sant Jaume de Frontanyà;2020;30
08218 Sant Joan de Vilatorrada;2022;10820
08218 Sant Joan de Vilatorrada;2021;10871
08218 Sant Joan de Vilatorrada;2020;10998
08217 Sant Joan Despí;2022;34039
08217 Sant Joan Despí;2021;34130
08217 Sant Joan Despí;2020;34267
08903 Sant Julià de Cerdanyola;2022;241
08903 Sant Julià de Cerdanyola;2021;235
08903 Sant Julià de Cerdanyola;2020;229
08220 Sant Julià de Vilatorta;2022;3193
08220 Sant Julià de Vilatorta;2021;3152
08220 Sant Julià de Vilatorta;2020;3140
08221 Sant Just Desvern;2022;19806
08221 Sant Just Desvern;2021;19379
08221 Sant Just Desvern;2020;18670
08222 Sant Llorenç d'Hortons;2022;2503
08222 Sant Llorenç d'Hortons;2021;2459
08222 Sant Llorenç d'Hortons;2020;2428
08223 Sant Llorenç Savall;2022;2524
08223 Sant Llorenç Savall;2021;2514
08223 Sant Llorenç Savall;2020;2417
08225 Sant Martí d'Albars;2022;119
08225 Sant Martí d'Albars;2021;107
08225 Sant Martí d'Albars;2020;114
08224 Sant Martí de Centelles;2022;1232
08224 Sant Martí de Centelles;2021;1186
08224 Sant Martí de Centelles;2020;1184
08226 Sant Martí de Tous;2022;1243
08226 Sant Martí de Tous;2021;1236
08226 Sant Martí de Tous;2020;1228
08227 Sant Martí Sarroca;2022;3313
08227 Sant Martí Sarroca;2021;3286
08227 Sant Martí Sarroca;2020;3261
08228 Sant Martí Sesgueioles;2022;361
08228 Sant Martí Sesgueioles;2021;344
08228 Sant Martí Sesgueioles;2020;342
08229 Sant Mateu de Bages;2022;628
08229 Sant Mateu de Bages;2021;614
08229 Sant Mateu de Bages;2020;608
08231 Sant Pere de Ribes;2022;31688
08231 Sant Pere de Ribes;2021;31525
08231 Sant Pere de Ribes;2020;31111
08232 Sant Pere de Riudebitlles;2022;2404
08232 Sant Pere de Riudebitlles;2021;2411
08232 Sant Pere de Riudebitlles;2020;2380
08233 Sant Pere de Torelló;2022;2514
08233 Sant Pere de Torelló;2021;2488
08233 Sant Pere de Torelló;2020;2470
08234 Sant Pere de Vilamajor;2022;4815
08234 Sant Pere de Vilamajor;2021;4671
08234 Sant Pere de Vilamajor;2020;4544
08189 Sant Pere Sallavinera;2022;167
08189 Sant Pere Sallavinera;2021;159
08189 Sant Pere Sallavinera;2020;151
08235 Sant Pol de Mar;2022;5680
08235 Sant Pol de Mar;2021;5538
08235 Sant Pol de Mar;2020;5428
08236 Sant Quintí de Mediona;2022;2393
08236 Sant Quintí de Mediona;2021;2367
08236 Sant Quintí de Mediona;2020;2317
08237 Sant Quirze de Besora;2022;2142
08237 Sant Quirze de Besora;2021;2145
08237 Sant Quirze de Besora;2020;2154
08238 Sant Quirze del Vallès;2022;20180
08238 Sant Quirze del Vallès;2021;20156
08238 Sant Quirze del Vallès;2020;20195
08239 Sant Quirze Safaja;2022;672
08239 Sant Quirze Safaja;2021;660
08239 Sant Quirze Safaja;2020;631
08240 Sant Sadurní d'Anoia;2022;12863
08240 Sant Sadurní d'Anoia;2021;12840
08240 Sant Sadurní d'Anoia;2020;12841
08241 Sant Sadurní d'Osormort;2022;90
08241 Sant Sadurní d'Osormort;2021;76
08241 Sant Sadurní d'Osormort;2020;76
08098 Sant Salvador de Guardiola;2022;3351
08098 Sant Salvador de Guardiola;2021;3243
08098 Sant Salvador de Guardiola;2020;3221
08262 Sant Vicenç de Castellet;2022;9949
08262 Sant Vicenç de Castellet;2021;9868
08262 Sant Vicenç de Castellet;2020;9767
08264 Sant Vicenç de Montalt;2022;6661
08264 Sant Vicenç de Montalt;2021;6523
08264 Sant Vicenç de Montalt;2020;6452
08265 Sant Vicenç de Torelló;2022;2077
08265 Sant Vicenç de Torelló;2021;2077
08265 Sant Vicenç de Torelló;2020;2058
08263 Sant Vicenç dels Horts;2022;28079
08263 Sant Vicenç dels Horts;2021;28115
08263 Sant Vicenç dels Horts;2020;28268
08243 Santa Cecília de Voltregà;2022;185
08243 Santa Cecília de Voltregà;2021;179
08243 Santa Cecília de Voltregà;2020;182
08244 Santa Coloma de Cervelló;2022;8309
08244 Santa Coloma de Cervelló;2021;8273
08244 Santa Coloma de Cervelló;2020;8268
08245 Santa Coloma de Gramenet;2022;117981
08245 Santa Coloma de Gramenet;2021;119289
08245 Santa Coloma de Gramenet;2020;120443
08246 Santa Eugènia de Berga;2022;2256
08246 Santa Eugènia de Berga;2021;2259
08246 Santa Eugènia de Berga;2020;2278
08247 Santa Eulàlia de Riuprimer;2022;1401
08247 Santa Eulàlia de Riuprimer;2021;1409
08247 Santa Eulàlia de Riuprimer;2020;1383
08248 Santa Eulàlia de Ronçana;2022;7740
08248 Santa Eulàlia de Ronçana;2021;7538
08248 Santa Eulàlia de Ronçana;2020;7426
08249 Santa Fe del Penedès;2022;370
08249 Santa Fe del Penedès;2021;378
08249 Santa Fe del Penedès;2020;367
08250 Santa Margarida de Montbui;2022;10294
08250 Santa Margarida de Montbui;2021;10192
08250 Santa Margarida de Montbui;2020;10225
08251 Santa Margarida i els Monjos;2022;7624
08251 Santa Margarida i els Monjos;2021;7664
08251 Santa Margarida i els Monjos;2020;7676
08253 Santa Maria de Besora;2022;159
08253 Santa Maria de Besora;2021;161
08253 Santa Maria de Besora;2020;161
08256 Santa Maria de Martorelles;2022;889
08256 Santa Maria de Martorelles;2021;882
08256 Santa Maria de Martorelles;2020;890
08255 Santa Maria de Merlès;2022;184
08255 Santa Maria de Merlès;2021;180
08255 Santa Maria de Merlès;2020;184
08257 Santa Maria de Miralles;2022;138
08257 Santa Maria de Miralles;2021;129
08257 Santa Maria de Miralles;2020;119
08259 Santa Maria de Palautordera;2022;9777
