Municipios;Periodo;Total
17085 Jafre;2020;387
17086 Jonquera, La;2022;3317
17086 Jonquera, La;2021;3340
17086 Jonquera, La;2020;3320
17087 Juià;2022;334
17087 Juià;2021;327
17087 Juià;2020;319
17088 Lladó;2022;827
17088 Lladó;2021;845
17088 Lladó;2020;844
17089 Llagostera;2022;9024
17089 Llagostera;2021;8851
17089 Llagostera;2020;8647
17090 Llambilles;2022;731
17090 Llambilles;2021;730
17090 Llambilles;2020;713
17091 Llanars;2022;533
17091 Llanars;2021;535
17091 Llanars;2020;535
17092 Llançà;2022;4905
17092 Llançà;2021;4842
17092 Llançà;2020;4775
17093 Llers;2022;1245
17093 Llers;2021;1252
17093 Llers;2020;1237
17094 Llívia;2022;1495
17094 Llívia;2021;1504
17094 Llívia;2020;1431
17095 Lloret de Mar;2022;38941
17095 Lloret de Mar;2021;38402
17095 Lloret de Mar;2020;39089
17096 Llosses, Les;2022;205
17096 Llosses, Les;2021;209
17096 Llosses, Les;2020;212
17102 Maçanet de Cabrenys;2022;724
17102 Maçanet de Cabrenys;2021;729
17102 Maçanet de Cabrenys;2020;698
17103 Maçanet de la Selva;2022;7572
17103 Maçanet de la Selva;2021;7349
17103 Maçanet de la Selva;2020;7066
17097 Madremanya;2022;302
17097 Madremanya;2021;296
17097 Madremanya;2020;288
17098 Maià de Montcal;2022;462
17098 Maià de Montcal;2021;469
17098 Maià de Montcal;2020;463
17100 Masarac;2022;294
17100 Masarac;2021;284
17100 Masarac;2020;288
17101 Massanes;2022;825
17101 Massanes;2021;803
17101 Massanes;2020;796
17099 Meranges;2022;111
17099 Meranges;2021;97
17099 Meranges;2020;100
17105 Mieres;2022;341
17105 Mieres;2021;349
17105 Mieres;2020;345
17106 Mollet de Peralada;2022;202
17106 Mollet de Peralada;2021;197
17106 Mollet de Peralada;2020;198
17107 Molló;2022;365
17107 Molló;2021;347
17107 Molló;2020;336
17109 Montagut i Oix;2022;958
17109 Montagut i Oix;2021;951
17109 Montagut i Oix;2020;930
17110 Mont-ras;2022;1676
17110 Mont-ras;2021;1672
17110 Mont-ras;2020;1680
17111 Navata;2022;1465
17111 Navata;2021;1434
17111 Navata;2020;1427
17112 Ogassa;2022;222
17112 Ogassa;2021;240
17112 Ogassa;2020;240
17114 Olot;2022;36716
17114 Olot;2021;36299
17114 Olot;2020;35926
17115 Ordis;2022;373
17115 Ordis;2021;369
17115 Ordis;2020;361
17116 Osor;2022;423
17116 Osor;2021;426
17116 Osor;2020;428
17117 Palafrugell;2022;23396
17117 Palafrugell;2021;23046
17117 Palafrugell;2020;23244
17118 Palamós;2022;18145
17118 Palamós;2021;18196
17118 Palamós;2020;18135
17119 Palau de Santa Eulàlia;2022;115
17119 Palau de Santa Eulàlia;2021;111
17119 Palau de Santa Eulàlia;2020;90
17121 Palau-sator;2022;327
17121 Palau-sator;2021;323
17121 Palau-sator;2020;310
17120 Palau-saverdera;2022;1472
17120 Palau-saverdera;2021;1490
17120 Palau-saverdera;2020;1456
17123 Palol de Revardit;2022;457
17123 Palol de Revardit;2021;446
17123 Palol de Revardit;2020;448
17124 Pals;2022;2548
17124 Pals;2021;2516
17124 Pals;2020;2395
17125 Pardines;2022;165
17125 Pardines;2021;166
17125 Pardines;2020;169
17126 Parlavà;2022;415
17126 Parlavà;2021;413
17126 Parlavà;2020;391
17128 Pau;2022;579
17128 Pau;2021;588
17128 Pau;2020;557
17129 Pedret i Marzà;2022;181
17129 Pedret i Marzà;2021;187
17129 Pedret i Marzà;2020;191
17130 Pera, La;2022;438
17130 Pera, La;2021;448
17130 Pera, La;2020;435
17132 Peralada;2022;1974
17132 Peralada;2021;1945
17132 Peralada;2020;1898
17133 Planes d'Hostoles, Les;2022;1745
17133 Planes d'Hostoles, Les;2021;1711
17133 Planes d'Hostoles, Les;2020;1712
17134 Planoles;2022;307
17134 Planoles;2021;311
17134 Planoles;2020;304
17135 Pont de Molins;2022;542
17135 Pont de Molins;2021;518
17135 Pont de Molins;2020;516
17136 Pontós;2022;274
17136 Pontós;2021;264
17136 Pontós;2020;260
17137 Porqueres;2022;4712
17137 Porqueres;2021;4701
17137 Porqueres;2020;4677
17140 Port de la Selva, El;2022;1015
17140 Port de la Selva, El;2021;1010
17140 Port de la Selva, El;2020;958
17138 Portbou;2022;1090
17138 Portbou;2021;1095
17138 Portbou;2020;1063
17139 Preses, Les;2022;1875
17139 Preses, Les;2021;1875
17139 Preses, Les;2020;1855
17141 Puigcerdà;2022;9484
17141 Puigcerdà;2021;9518
17141 Puigcerdà;2020;9486
17142 Quart;2022;3906
17142 Quart;2021;3856
17142 Quart;2020;3798
17043 Queralbs;2022;191
17043 Queralbs;2021;191
17043 Queralbs;2020;188
17143 Rabós;2022;210
17143 Rabós;2021;206
17143 Rabós;2020;184
17144 Regencós;2022;271
