Periodo,Total,CP,Municipio
2022,10400,08230,PREMIÀ DE DALT
2021,10419,08230,PREMIÀ DE DALT
2020,10441,08230,PREMIÀ DE DALT
2022,28518,08172,PREMIÀ DE MAR
2021,28523,08172,PREMIÀ DE MAR
2020,28531,08172,PREMIÀ DE MAR
2022,555,08174,PUIGDÀLBER
2021,551,08174,PUIGDÀLBER
2020,524,08174,PUIGDÀLBER
2022,4327,08175,PUIG-REIG
2021,4289,08175,PUIG-REIG
2020,4295,08175,PUIG-REIG
2022,204,08176,PUJALT
2021,206,08176,PUJALT
2020,210,08176,PUJALT
2022,47,08177,QUAR, LA
2021,51,08177,QUAR, LA
2020,49,08177,QUAR, LA
2022,545,08178,RAJADELL
2021,549,08178,RAJADELL
2020,534,08178,RAJADELL
2022,915,08179,RELLINARS
2021,868,08179,RELLINARS
2020,809,08179,RELLINARS
2022,39031,08180,RIPOLLET
2021,39139,08180,RIPOLLET
2020,39179,08180,RIPOLLET
2022,10776,08181,ROCA DEL VALLÈS, LA
2021,10676,08181,ROCA DEL VALLÈS, LA
2020,10754,08181,ROCA DEL VALLÈS, LA
2022,6555,08183,RODA DE TER
2021,6449,08183,RODA DE TER
2020,6490,08183,RODA DE TER
2022,79007,08184,RUBÍ
2021,78549,08184,RUBÍ
2020,78591,08184,RUBÍ
2022,244,08185,RUBIÓ
2021,236,08185,RUBIÓ
2020,239,08185,RUBIÓ
2022,279,08901,RUPIT I PRUIT
2021,296,08901,RUPIT I PRUIT
2020,271,08901,RUPIT I PRUIT
2022,215760,08187,SABADELL
2021,216204,08187,SABADELL
2020,216520,08187,SABADELL
2022,157,08188,SAGÀS
2021,151,08188,SAGÀS
2020,145,08188,SAGÀS
2022,298,08190,SALDES
2021,283,08190,SALDES
2020,278,08190,SALDES
2022,6805,08191,SALLENT
2021,6717,08191,SALLENT
2020,6735,08191,SALLENT
2022,36918,08194,SANT ADRIÀ DE BESÒS
2021,37283,08194,SANT ADRIÀ DE BESÒS
2020,37447,08194,SANT ADRIÀ DE BESÒS
2022,100,08195,SANT AGUSTÍ DE LLUÇANÈS
2021,92,08195,SANT AGUSTÍ DE LLUÇANÈS
2020,89,08195,SANT AGUSTÍ DE LLUÇANÈS
2022,26965,08196,SANT ANDREU DE LA BARCA
2021,27175,08196,SANT ANDREU DE LA BARCA
2020,27569,08196,SANT ANDREU DE LA BARCA
2022,11593,08197,SANT ANDREU DE LLAVANERES
2021,11150,08197,SANT ANDREU DE LLAVANERES
2020,11133,08197,SANT ANDREU DE LLAVANERES
2022,6483,08198,SANT ANTONI DE VILAMAJOR
2021,6383,08198,SANT ANTONI DE VILAMAJOR
2020,6208,08198,SANT ANTONI DE VILAMAJOR
2022,924,08199,SANT BARTOMEU DEL GRAU
2021,913,08199,SANT BARTOMEU DEL GRAU
2020,884,08199,SANT BARTOMEU DEL GRAU
2022,83371,08200,SANT BOI DE LLOBREGAT
2021,83755,08200,SANT BOI DE LLOBREGAT
2020,84500,08200,SANT BOI DE LLOBREGAT
2022,575,08201,SANT BOI DE LLUÇANÈS
2021,573,08201,SANT BOI DE LLUÇANÈS
2020,580,08201,SANT BOI DE LLUÇANÈS
2022,3619,08203,SANT CEBRIÀ DE VALLALTA
2021,3570,08203,SANT CEBRIÀ DE VALLALTA
2020,3438,08203,SANT CEBRIÀ DE VALLALTA
2022,18285,08202,SANT CELONI
2021,18176,08202,SANT CELONI
2020,18136,08202,SANT CELONI
2022,4170,08204,SANT CLIMENT DE LLOBREGAT
2021,4193,08204,SANT CLIMENT DE LLOBREGAT
2020,4160,08204,SANT CLIMENT DE LLOBREGAT
2022,95725,08205,SANT CUGAT DEL VALLÈS
2021,94012,08205,SANT CUGAT DEL VALLÈS
2020,92977,08205,SANT CUGAT DEL VALLÈS
2022,1009,08206,SANT CUGAT SESGARRIGUES
2021,1004,08206,SANT CUGAT SESGARRIGUES
2020,1009,08206,SANT CUGAT SESGARRIGUES
2022,3043,08207,SANT ESTEVE DE PALAUTORDERA
2021,2997,08207,SANT ESTEVE DE PALAUTORDERA
2020,2864,08207,SANT ESTEVE DE PALAUTORDERA
2022,7889,08208,SANT ESTEVE SESROVIRES
2021,7771,08208,SANT ESTEVE SESROVIRES
2020,7696,08208,SANT ESTEVE SESROVIRES
2022,6460,08210,SANT FELIU DE CODINES
2021,6406,08210,SANT FELIU DE CODINES
2020,6363,08210,SANT FELIU DE CODINES
2022,45642,08211,SANT FELIU DE LLOBREGAT
2021,45463,08211,SANT FELIU DE LLOBREGAT
2020,45467,08211,SANT FELIU DE LLOBREGAT
2022,611,08212,SANT FELIU SASSERRA
2021,617,08212,SANT FELIU SASSERRA
2020,605,08212,SANT FELIU SASSERRA
2022,9064,08209,SANT FOST DE CAMPSENTELLES
2021,8997,08209,SANT FOST DE CAMPSENTELLES
2020,8853,08209,SANT FOST DE CAMPSENTELLES
2022,9025,08213,SANT FRUITÓS DE BAGES
2021,8936,08213,SANT FRUITÓS DE BAGES
2020,8837,08213,SANT FRUITÓS DE BAGES
2022,3644,08215,SANT HIPÒLIT DE VOLTREGÀ
2021,3547,08215,SANT HIPÒLIT DE VOLTREGÀ
2020,3540,08215,SANT HIPÒLIT DE VOLTREGÀ
2022,1433,08193,SANT ISCLE DE VALLALTA
2021,1438,08193,SANT ISCLE DE VALLALTA
2020,1342,08193,SANT ISCLE DE VALLALTA
2022,31,08216,SANT JAUME DE FRONTANYÀ
2021,28,08216,SANT JAUME DE FRONTANYÀ
2020,30,08216,SANT JAUME DE FRONTANYÀ
2022,10820,08218,SANT JOAN DE VILATORRADA
2021,10871,08218,SANT JOAN DE VILATORRADA
2020,10998,08218,SANT JOAN DE VILATORRADA
