Mun,Ncasos_lead,Ncasos_lagroll_15,Ncasos_lagroll_30,nHab,caudal,lluvia,sars_loess,sars_loess_15,sars_loess_30,Month
FALSET,0,0.9162907318741551,1.791759469228055,2724,427,0,10.502366662995415,9.960137771363597,9.99060806505166,03
FALSET,0,0.6931471805599453,1.3862943611198906,2724,472,8.1,8.687757919587582,7.994779362511858,9.591946617749274,03
FALSET,2.3978952727983707,0.6931471805599453,0.8109302162163288,2724,315,0,0,9.002946362873773,9.30975774422605,03
FALSET,1.791759469228055,0.6931471805599453,0.6931471805599453,2724,332,0,9.6960320181765,9.858757306204112,9.540141020469111,03
FALSET,0.6931471805599453,1.9459101490553132,1.5040773967762742,2724,339,0,9.998671747084238,9.887704834633462,9.610010438671095,03
FALSET,2.1972245773362196,2.2512917986064953,1.749199854809259,2724,350,0,9.762869310984986,9.278143263747689,9.291950670217924,04
FALSET,1.0986122886681098,1.6094379124341003,1.791759469228055,2724,295,0,8.300694629851396,7.607795762718959,8.595430800727826,04
FALSET,0,1.8718021769015913,2.0794415416798357,2724,308,0,0,4.720748351988109,7.060036675800611,04
FALSET,1.3862943611198906,1.9459101490553132,1.791759469228055,2724,357,5.5,5.40943132812265,5.753021787702019,5.516691962084361,04
FALSET,2.1972245773362196,1.0986122886681098,1.55814461804655,2724,325,0,6.00826899933961,5.954201247806791,5.853640145122994,05
FALSET,1.9459101490553132,1.252762968495368,1.6582280766035324,2724,353,0.8,5.89704224132018,5.945053580600745,6.057245778274903,05
FALSET,0,0.9162907318741551,1.3217558399823195,2724,418,0,7.982565777127532,8.135876325668155,9.10761107199647,10
FALSET,1.0986122886681098,1.0986122886681098,1.0116009116784799,2724,312,0,8.30971759144333,8.208809169391287,8.097253823103367,10
FALSET,3.1354942159291497,2.0149030205422647,1.749199854809259,2724,370,0,6.6495562644107755,9.495227912822498,10.335784121946812,12
FALSET,4.143134726391533,2.8622008809294686,2.4423470353692043,2724,275,0,10.1588972423226,11.00003448714988,11.069231193726685,12
FALSET,4.330733340286331,3.2188758248682006,2.7880929087757464,2724,240,0,11.450332835127718,11.65300203715523,11.491396347342157,12
FALSET,2.5649493574615367,3.784189633918261,3.4258899942525267,2724,337,0,11.82143736730006,11.819409585491915,11.699110705129252,12
FALSET,4.836281906951478,3.817712325956905,3.8010914447208646,2740,347,0,11.817377683428314,11.743186741567586,11.876356142590481,01
FALSET,5.043425116919247,4.0943445622221,4.178226046202803,2740,349,0,11.663047227201163,11.930233769776391,12.2940865424434,01
FALSET,5.176149732573829,4.757891273005756,4.394449154672439,2740,311,0,12.140875292061677,12.64725370856787,12.723394428107182,01
FALSET,5.0369526024136295,4.952299717083292,4.612642200826793,2740,322,0,12.981813928122516,13.160091622872333,12.97828110700101,01
FALSET,4.3694478524670215,5.1149953094204985,5.0369526024136295,2740,380,0,13.133911494834997,12.873520588645201,12.840852499542049,02
FALSET,4.143134726391533,4.791649752930709,4.96807567967746,2740,355,0.1,12.520500153464855,12.204744874797862,12.486729255428983,02
FALSET,4.219507705176107,4.418840607796598,4.826311734631628,2740,360,0,11.74065233338139,11.847598084864773,12.130947144894208,02
FALSET,4.248495242049359,4.276666119016055,4.566948973167894,2740,322,0,11.94420340924592,12.051266264904706,11.867164907969125,02
FALSET,3.828641396489095,4.197201947661808,4.314149212270796,2740,397,4.2,12.147967116057115,11.886356206577496,11.672350589173101,03
FALSET,3.091042453358316,4.248495242049359,4.2626798770413155,2740,388,4.6,11.531078846525311,11.054867575647043,11.354574523988244,03
FALSET,2.0794415416798357,4.07753744390572,4.139158578011894,2740,370,2,10.113353599644737,10.144040358015925,10.819215181248026,03
FALSET,1.791759469228055,3.5553480614894135,3.960813169597578,2740,374,0,10.173813408420013,10.510330912534682,10.981960045698035,03
FALSET,1.6094379124341003,2.772588722239781,3.624340932976365,2740,365,0,10.761670488537659,11.431372147815061,11.67597048636927,04
FALSET,2.4849066497880004,2.0794415416798357,3.068052935133617,2740,386,0,11.828898316392788,12.199678833413547,12.11452245634804,04
FALSET,2.3978952727983707,1.8718021769015913,2.4203681286504293,2740,491,5.4,12.46955679073589,12.516632941435189,12.351147457247123,04
FALSET,3.044522437723423,2.2512917986064953,2.169053700369523,2740,355,0,12.561592209527188,12.482662576615525,12.333454350106045,04
FALSET,2.302585092994046,2.5257286443082556,2.2512917986064953,2740,435,2.9,12.396965056302736,12.109023868210455,12.039850292919596,05
